Z	J	e		G	m
1	0	150991.49	278	2
2	0	278302.52	556	4
2	1	604233.37	278	2
3	0	52534.09	124	2
3	1	839918.28	299	4
3	2	1359687.21	278	2
4	0	96994.39	318	7
4	1	183127.29	250	2
4	2	1687543.18	234	4
4	3	2417471.50	278	2
5	0	82608.14	152	6
5	1	254450.62	427	15
5	2	361450.28	166	2*
5	3	2843419.75	260	4*
5	4	3777763.90	278	2
6	0	119011.30	755	12
6	1	247141.75	412	15
6	2	481799.03	619	16
6	3	638971.96	262	2
6	4	4372895.09	526	4
6	5	5440754.24	278	2
7	0	156577.63	1076	23
7	1	297149.04	826	23
7	2	463576.22	532	22
7	3	761375.52	637	16
7	4	969809.93	276	2
7	5	5955082.97	161	4
7	6	7406739.18	278	2
8	0	148025.55	658	10
8	1	358811.61	1104	33
8	2	522198.02	769	39
8	3	770292.81	812	37
8	4	1127189.72	805	16
8	5	1337937.59	228	2
8	6	8063119.12	230	4
8	7	9676005.18	278	2
9	0	189306.98	642	22
9	1	369967.32	1072	33
9	2	648202.69	2070	43*
9	3	862099.86	1285	45*
9	4	1081435.70	674	36*
9	5	1410884.98	381	14
9	6	1777557.76	198	2
9	7	10507621.11	308	4
9	8	12248930.42	278	2
10	0	242506.72	1200	12
10	1	445257.78	2030	29
10	2	657825.06	1391	40
10	3	948042.58	908	26*
10	4	1229305.92	1373	40*
10	5	1402396.67	614	41
10	6	1984373.15	758	16
10	7	2249518.89	174	2
10	8	13035747.69	237	4
10	9	15125862.09	278	2
11	0	53037.84	268	2
11	1	514746.96	836	12
11	2	748590.86	1156	30*
11	3	967135.82	841	37*
11	4	1399246.48	1316	31*
11	5	1663176.34	1052	33*
11	6	1880070.95	628	34
11	7	2420828.30	421	13*
11	8	2627246.17	106	2
11	9	15982554.64	260	4
11	10	17839645.56	124	2
12	0	80322.99	421	5
12	1	148041.70	252	2
12	2	828015.89	531	12
12	3	1134464.90	1536	31*
12	4	1411093.36	647	21*
12	5	1865964.26	1418	31*
12	6	2142223.03	1010	31*
12	7	2338880.38	576	29*
12	8	2773140.05	318	14
12	9	3261657.47	120	2
12	10	19189623.12	266	4
12	11	21237123.02	124	2
13	0	61332.91	226	2
13	1	186963.72	456	9
13	2	270429.14	242	2
13	3	1216959.19	545	12
13	4	1549146.53	1170	31*
13	5	1886238.18	1083	28*
13	6	2414611.81	1204	21*
13	7	2812666.21	1755	33*
13	8	2542105.04	334	21*
13	9	3548579.89	373	12*
13	10	3916731.05	120	2
13	11	22713375.11	266	4
13	12	24893674.25	120	2
14	0	84557.15	810	12
14	1	159923.67	354	15
14	2	327359.79	685	12
14	3	424109.62	268	2
14	4	1734718.76	816	12*
14	5	2052871.62	898	30*
14	6	2366175.20	527	17*
14	7	3068684.69	1804	27*
14	8	3544292.35	2157	36*
14	9	2939472.35	274	17*
14	10	4284733.99	440	12*
14	11	4631575.50	120	2
14	12	26837561.59	376	4
14	13	28926125.27	124	2
15	0	111553.41	1438	21
15	1	187200.91	673	13
15	2	279091.88	524	20
15	3	490515.56	782	16
15	4	599981.58	268	2
15	5	2035495.04	248	12
15	6	**	
15	7	**	
15	8	**	
15	9	**	
15	10	**	
15	11	**	
15	12	**	
15	13	31007596.77	376	4
15	14	33218858.77	124	2
16	0	109679.73	660	13
16	1	226987.56	1388	29
16	2	295403.69	463	12*
16	3	418347.48	648	22
16	4	646590.95	616	12
16	5	793008.25	250	2
16	6	2548457.94	242	12
16	7	3335040.66	1284	24*
16	8	3808539.43	1065	26*
16	9	4539809.54	1946	35*
16	10	5061921.17	2109	36*
16	11	3920308.38	246	14
16	12	5836111.97	366	9*
16	13	6237904.34	118	2*
16	14	35480563.25	376	4
16	15	38723116.45	278	2*
17	0	141057.47	1344	21	
17	1	239116.84	1444	34	
17	2	**
17	3	**
17	4	**			
17	5	**			
17	6	1007399.32	236	2	
17	7	3539215.89	99	2	
17	8	**			
17	9	**			
17	10	**			
17	11	**			
17	12	**			
17	13	**			
17	14	**			
17	15	**			
17	16	**			
18	0	175362.78	1156	12	
18	1	291708.85	2642	29	
18	2	332987.89	654	22*	
18	3	537020.33	1276	23*	
18	4	676953.56	780	11*	
18	5	689723.48	386	16*	
18	6	899714.78	278	11	
18	7	1226291.38	216	2	
18	8	4276148.89	758	12*	
18	9	4765524.26	1810	31*	
18	10	5427874.79	2126	69*	
18	11	6309262.74	1942	35*	
18	12	6891291.49	3442	92*	
18	13	6930433.44	1968	56*	
18	14	7939677.47	947	16*	
18	15	8000300.84	96	2*	
18	16	44488328.97	179	4*	
18	17	49025928.61	278	2*	
19	0	41649.47	154	2	
19	1	**			
19	2	**			
19	3	**			
19	4	**			
19	5	**			
19	6	**			
19	7	1123307.05	320	10	
19	8	1408338.41	144	2	
19	9	**			
19	10	**			
19	11	**			
19	12	**			
19	13	**			
19	14	**			
19	15	**			
19	16	**			
19	17	**			
19	18	**			
20	0	59040.50	414	10	
20	1	104428.91	184	2	
20	2	510019.07	931	12	
20	3	558657.22	620	22*	
20	4	708820.36	329	8*	
20	5	1016510.46	1614	26*	
20	6	1163436.41	1083	16*	
20	7	895168.86	174	8	
20	8	1331538.08	321	10	
20	9	1675252.51	144	2	
20	10	6264642.54	873	10*	
20	11	6675525.78	2104	48*	
20	12	7300369.62	2724	86*	
20	13	8271825.80	3730	103*	
20	14	9069080.36	4227	112*	
20	15	9213595.25	794	22*	
20	16	10293633.64	849	16*	
20	17	10010271.91	102	2	
20	18	55504272.68	136	4*	
20	19	60549406.08	278	2*	

